employee_id,timestamp,event_type
EMP001,2026-05-05T09:00:00+07:00,CLOCK_IN
EMP001,2026-05-05T18:00:00+07:00,CLOCK_OUT
EMP001,2026-05-12T09:00:00+07:00,CLOCK_IN
EMP001,2026-05-12T17:00:00+07:00,CLOCK_OUT
EMP002,2026-05-31T09:00:00+07:00,CLOCK_IN
EMP002,2026-05-31T17:00:00+07:00,CLOCK_OUT
EMP003,2026-05-10T09:00:00+07:00,CLOCK_IN
EMP003,2026-05-10T13:00:00+07:00,CLOCK_OUT
EMP003,2026-05-11T09:00:00+07:00,CLOCK_IN
EMP003,2026-05-11T21:00:00+07:00,CLOCK_OUT
EMP004,2026-05-15T09:00:00+07:00,CLOCK_IN
EMP004,2026-05-15T17:00:00+07:00,CLOCK_OUT
EMP005,2026-05-20T09:00:00+07:00,CLOCK_IN
EMP005,2026-05-21T09:00:00+07:00,CLOCK_IN
EMP005,2026-05-21T17:00:00+07:00,CLOCK_OUT
EMP001,2026-05-05T09:00:00+07:00,CLOCK_IN
EMP001,2026-05-05T18:00:00+07:00,CLOCK_OUT